bag_value_no_sell,bag_value_sell_half,btc_price_day_0,btc_price_today,eth_price_day_0,eth_price_today,gini_no_sell,gini_sell_half,min_treasury_no_sell,min_treasury_sell_half,roi_btc,roi_eth,roi_no_sell,roi_sell_half,treasury_sell_half
7772244.727478011,4197017.806660824,134.21,33605.48,,907.11,0.932694272561869,0.9231774698634352,-2029000.0,-37948.35464620631,250.3947544892333,,3.8305789686929574,261.6572556603223,5732444.52689016
7882734.96391242,4252262.924878029,101.44,33605.48,,907.11,0.9328535472352677,0.9233844077058966,-2029000.0,-38000.0,331.2843059936909,,3.8850344819676788,262.7813738336495,5733429.280800652
7823569.956670055,4221467.757739405,120.06,33605.48,,907.11,0.9328364617382516,0.9234052499976892,-2028000.0,-50503.69107283954,279.90571380976183,,3.8577761127564374,198.96799673468226,5827150.482730734
7781029.825990785,4200197.692399769,186.69,33605.48,,907.11,0.9318697078566966,0.92238388083921,-2019000.0,-36314.51396807525,180.00685628582144,,3.85390283605289,276.5574139919703,5842850.380986405
7441309.3468310945,4031907.472757915,665.58,33605.48,,907.11,0.9336940138928127,0.9238597528219539,-2019000.0,-76704.22232820171,50.490519546861385,,3.6856410831258515,125.9648686581725,5630129.818341275
7307923.105971675,3965402.5845441027,605.42,33605.48,,907.11,0.9323984056247978,0.9224295392725537,-2016000.0,-213828.25050887835,55.50771365333158,,3.6249618581208707,33.24086466242274,3142433.351624149
7781220.271741074,4197719.202354955,491.3,33605.48,,907.11,0.9319651435917167,0.9223022845193616,-1993000.0,-308640.2860357455,68.40113983309587,,3.904275098716043,23.576988260765418,3079089.1983090984
7994785.262359422,4310057.386008443,602.27,33605.48,,907.11,0.9324137376982105,0.9229237290202872,-1948000.0,-355285.5842918177,55.79803078353563,,4.104099210656788,18.257214390037856,2176467.6960971383
9292490.924832197,4944385.787572895,517.24,33605.48,,907.11,0.9377644102311293,0.9288510778340255,-1864000.0,-217620.9482396433,64.9707679220478,,4.985241912463625,34.05651469430924,2467025.233940028
9767524.552085608,5341997.681270729,382.85,33605.48,,907.11,0.9374321786430393,0.9302165323614588,-1806000.0,-333526.64988096175,87.7771450959906,,5.408374613557923,23.432411096403015,2473335.890346043
10986890.26848014,5839892.184137609,329.96,33605.48,,907.11,0.9405982460053988,0.9326345577555799,-1757000.0,-279081.3998899543,101.84713298581647,,6.253210169880558,24.812106876957266,1084705.3373027872
10166688.38362531,5454682.79135711,236.33,33605.48,,907.11,0.9335002914283976,0.9253754805002661,-1716000.0,-268173.01810119563,142.1972665340837,,5.92464358020123,24.641183978737413,1153417.8858077289
11541236.80838118,6149520.4109771475,222.6,33605.48,,907.11,0.9382694132129759,0.9306993155109529,-1682000.0,-254270.7042552862,150.96801437556155,,6.861615224959084,28.77969453386432,1168312.786400544
9818940.848622711,5275696.052291272,249.01,33605.48,,907.11,0.9367601371967531,0.9286667224782106,-1637000.0,-338220.71366289613,134.95634713465324,,5.998131245340691,19.598207587818532,1352823.7045742976
11685488.3832607,5984988.013051319,257.98,33605.48,1.2,907.11,0.9428897701134948,0.9337121123938112,-1596000.0,-281894.47342742566,130.26389642607955,755.9250000000001,7.3217345759778825,26.660366219871214,1530421.8838816038
12768643.283038374,6537393.911679134,270.64,33605.48,0.5471779999999999,907.11,0.9477571685378612,0.9391134085880342,-1565000.0,-246994.38787738042,124.17041087791902,1657.7969143496268,8.15887749714912,34.76152621201853,2048507.9767418962
9981741.040252753,5212890.163354381,454.93,33605.48,0.991182,907.11,0.9371376392130915,0.9271856367727371,-1540000.0,-252571.70137744787,73.8695623502517,915.1800577492328,6.481650026138151,34.60094343833314,3526328.9901302606
8205929.57435639,4895722.559261895,407.23,33605.48,5.24,907.11,0.9328991761425238,0.9309780095977276,-1519000.0,-245682.66466450604,82.52211281094222,173.11259541984734,5.402191951518361,33.57947409395707,3354172.1141742277
7109378.7311778655,4351559.274196703,429.71,33605.48,8.24,907.11,0.929565312854471,0.9282469542948462,-1491000.0,-332848.7092879981,78.20502199157572,110.08616504854369,4.768194990729621,14.067360064664605,330743.3664164403
7877742.31243334,4771574.766413457,694.47,33605.48,18.35,907.11,0.9359004507139077,0.9333493752302537,-1459000.0,-282710.3646930745,48.39011044393567,49.43378746594005,5.399412140118807,30.2071040825865,3768286.6450962317
5745787.428411147,3778831.094832296,567.24,33605.48,11.22,907.11,0.9198517326251578,0.9214379540660964,-1417000.0,-298639.81682281353,59.243847401452655,80.8475935828877,4.054895856324027,20.873438209612534,2454808.668548709
5784144.286150695,3710792.4789610673,640.38,33605.48,11.94,907.11,0.9240301699278115,0.9239838995140119,-1363000.0,-334827.1126793582,52.477404041350454,75.97236180904522,4.243686196735653,21.584311901643147,3516220.3542368147
6849371.89991637,3566387.55110089,780.56,33605.48,8.42,907.11,0.9381599105243339,0.9241109117876476,-1298000.0,-295138.0051651532,43.05303884390695,107.73277909738718,5.276865870505678,24.018602762485646,3522414.9550733604
4087603.4007533723,2158991.107201991,1004.45,33605.48,11.35,907.11,0.9143300424822078,0.8952041416325405,-1200000.0,-265210.8770443789,33.45659813828463,79.92158590308371,3.406336167294477,7.588637260451438,-146401.9637860126
2043221.128993091,1142596.6862675673,1200.37,33605.48,46.29,907.11,0.8783351264723682,0.8530007251217493,-1127000.0,-316829.58026784513,27.99593458683573,19.596241088788076,1.8129734951136565,2.632516106654823,-308537.71314777795
1269246.0513804904,743201.0531210131,2958.11,33605.48,340.61,907.11,0.8689661713217682,0.8397944292798365,-1055000.0,-373379.17071253416,11.360456507702555,2.663192507559966,1.2030768259530715,1.0126803506659914,-365087.303592467
970603.3076079683,592463.5653146452,3650.62,33605.48,308.86,907.11,0.8295065487544242,0.799860256000045,-1007000.0,-468090.6754930696,9.205417162016316,2.936961730233763,0.9638563134140699,0.2834167905649874,-459798.8083730024
879398.9215027317,547258.2651397032,4781.99,33605.48,299.87,907.11,0.8045370332805626,0.7745136182431442,-954000.0,-446412.64571907587,7.027509467815701,3.025010838029813,0.921801804510201,0.24447669121222407,-438120.7785990087
794288.4379860667,506337.19343060424,15178.22,33605.48,473.5,907.11,0.8103765350070731,0.7800451538264623,-905000.0,-478061.90962996654,2.2140593561036805,1.9157550158394931,0.877666782305046,0.07870421118464435,-468711.707935753
733676.9130805351,501908.00508667686,7621.3,33605.48,757.07,907.11,0.7985010053249009,0.7592290718880961,-834000.0,-612891.0667313236,4.409415716478816,1.1981851083783532,0.8797085288735433,-0.1655368073770619,-603364.035543302
742023.8148882061,489206.8523861066,7023.52,33605.48,400.51,907.11,0.7755427592186608,0.7377260824453413,-803000.0,-503234.17726022017,4.7847062441624715,2.2648872687323665,0.924064526635375,-0.006156904471104695,-492305.21714209276
732223.624338571,496655.1443002713,7678.24,33605.48,605.19,907.11,0.7728669847981551,0.7220254828197903,-786000.0,-598215.0057867658,4.376716539206902,1.4988846477965596,0.9315822192602684,-0.14777945903087447,-585059.034239591
818305.2777395294,547269.3536369757,6753.13,33605.48,380.22,907.11,0.7517440473472021,0.6963004973803173,-776000.0,-555186.1773788583,4.976282109184926,2.3857503550575982,1.0545171104890843,0.014756591694111617,-539076.6979031813
825613.5445588635,553203.9839423689,6588.31,33605.48,225.12,907.11,0.7312900943013052,0.6757482505680783,-749000.0,-514132.93713866896,5.100773946581142,4.029450959488273,1.1022877764470809,0.10125064322101421,-501147.6933559694
990566.8877588168,622956.4459026004,3753.99,33605.48,102.48,907.11,0.715664362490112,0.6643339982931327,-721000.0,-414595.65888000646,8.95193647292614,8.851580796252927,1.3738791785836573,0.5479031304918943,-395798.18651389534
963617.7387178782,594810.7830344108,3459.15,33605.48,107.82,907.11,0.6982682872483745,0.6417787233346626,-698000.0,-384616.5746031209,9.714953095413614,8.413188647746244,1.3805411729482495,0.5892614028852163,-368171.0807108693
776961.6085988801,517551.06139461155,5036.68,33605.48,165.51,907.11,0.6916289447287691,0.6253759717561045,-671000.0,-468143.9449176178,6.67214911409897,5.480696030451333,1.1579159591637558,0.1614463795945464,-441970.9163585534
754283.467247081,517465.9057905612,7707.77,33605.48,241.34,907.11,0.6701080023308696,0.6045234641553909,-645000.0,-454184.835014079,4.359948467585307,3.758639264108726,1.169431732166017,0.1898269633755713,-431249.37774860376
773238.435383368,524891.1135844077,10821.73,33605.48,222.49,907.11,0.6453549645511476,0.5785670586805782,-609000.0,-425144.38064810674,3.1053703982634944,4.07708211605016,1.269685443979258,0.28848168200628727,-402244.74755952065
870797.2166441942,566616.5495836033,8393.04,33605.48,180.71,907.11,0.6281794685807596,0.5618495763920979,-576000.0,-355054.5097962015,4.00396995605883,5.019700071938465,1.511800723340615,0.6557612686566208,-333785.5537973916
858967.5909032042,565951.9490371705,7424.29,33605.48,151.19,907.11,0.6076543063185997,0.5416894324930845,-554000.0,-340698.9884972112,4.526423402103097,5.9998015741781865,1.5504830160707657,0.7254083834851254,-318806.0465363912
801646.680613697,542578.4243081427,9508.99,33605.48,184.69,907.11,0.5908739993230336,0.5154050405752417,-537000.0,-354621.9353708627,3.534074596776314,4.911527424332665,1.4928243586847245,0.5988779350914881,-330203.1719150933
926496.1445542166,594307.9780869754,6429.84,33605.48,132.9,907.11,0.594457159430213,0.5215515306984446,-504000.0,-290785.7670529467,5.226487750861608,6.8255079006772,1.8382860010996362,1.1051016583092557,-272960.1447040351
607380.3687465464,442762.92799488263,9439.12,33605.48,220.68,907.11,0.4759613517895249,0.4154245696643557,-469000.0,-328603.7772451757,3.5602344286331777,4.1105220228384995,1.2950540911440223,0.42769157129147634,-302221.86217257916
504573.6675339446,402023.3349143057,10912.82,33605.48,316.66,907.11,0.4160295617840113,0.3684829762561992,-434000.0,-350164.1961172642,3.0794496747861695,2.864618202488473,1.1626121371749876,0.25296786590016856,-313443.0455078733
390052.8243676034,317827.7219843806,10750.72,33605.48,355.49,907.11,0.2920052143331533,0.20648100249687196,-340000.0,-302358.543163436,3.1258818014049297,2.5517173478860165,1.1472141893164807,0.18928495628483497,-260595.79835934326
360703.83587671164,315300.7725970754,17108.4,33605.48,517.49,907.11,0.20208646638969396,0.1483151104878242,-320000.0,-305245.3153006642,1.9642678450351874,1.7529034377475894,1.127199487114724,0.16729261961870293,-264235.4841740903
